epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,595.58,1.62101,3.2485,1.76723,0.24788,0.31146,0.19411,0.07532,1.84752,3.39215,2.05729,0.000552105,0.000552105,0.000552105
2,1504.78,1.75819,2.8157,1.8758,0.23073,0.27636,0.15081,0.06338,2.20552,3.40967,2.23323,0.000998102,0.000998102,0.000998102
3,2367.02,1.70793,2.48877,1.81873,0.30556,0.3489,0.28001,0.13168,1.79383,2.93516,1.91263,0.00133408,0.00133408,0.00133408
4,3129.17,1.63197,2.15565,1.74403,0.35969,0.51112,0.31589,0.14912,1.65181,2.52057,1.78597,0.0011719,0.0011719,0.0011719
5,3834.45,1.55249,1.95197,1.6794,0.40664,0.47813,0.40368,0.19679,1.66034,2.11977,1.74908,0.00100687,0.00100687,0.00100687
6,4377.68,1.4809,1.79569,1.62049,0.48852,0.51683,0.47042,0.2747,1.54843,1.9403,1.64782,0.000841835,0.000841835,0.000841835
7,4915.92,1.37661,1.64869,1.52899,0.60016,0.55997,0.58581,0.34705,1.46032,1.67182,1.57607,0.000676802,0.000676802,0.000676802
8,5464,1.363,1.53106,1.514,0.5138,0.59657,0.5557,0.35253,1.45832,1.7872,1.56562,0.000511769,0.000511769,0.000511769
9,6082.56,1.29594,1.44666,1.45711,0.65167,0.66007,0.68408,0.42139,1.37293,1.45242,1.48845,0.000346736,0.000346736,0.000346736
10,6714.74,1.23085,1.3563,1.41924,0.67898,0.67316,0.71723,0.46593,1.27238,1.38417,1.43214,0.000181703,0.000181703,0.000181703
